Stethoscope	ECG
-0.0326538	-0.183411
0.0726318	-0.162354
0.134583	-0.146179
0.0570679	-0.136414
-0.118408	-0.133972
-0.291443	-0.136719
-0.335083	-0.143127
-0.203247	-0.151367
0.0524902	-0.158997
0.308838	-0.165405
0.392456	-0.169067
0.256042	-0.170898
0.0561523	-0.171814
-0.0973511	-0.171509
-0.218811	-0.170288
-0.307007	-0.169678
-0.342407	-0.169067
-0.292969	-0.167847
-0.148926	-0.166016
0.0149536	-0.16449
0.165405	-0.163879
0.327454	-0.163269
0.455017	-0.161743
0.476379	-0.160522
0.369263	-0.160522
0.13916	-0.160828
-0.137024	-0.160217
-0.366211	-0.158997
-0.475159	-0.15686
-0.448608	-0.154419
-0.316467	-0.151978
-0.140991	-0.149536
0.0308228	-0.146484
0.168152	-0.142822
0.249939	-0.140381
0.285034	-0.13855
0.283508	-0.136108
0.23468	-0.133362
0.141602	-0.131836
0.0213623	-0.131226
-0.0881958	-0.13092
-0.145874	-0.130615
-0.157471	-0.129395
-0.134583	-0.127869
-0.0982666	-0.125732
-0.0500488	-0.123596
-0.00305176	-0.121765
0.0183105	-0.119934
0.020752	-0.118408
0.012207	-0.116882
0.0106812	-0.115967
0.0149536	-0.117493
0	-0.121155
-0.0338745	-0.123291
-0.0708008	-0.121765
-0.0906372	-0.118408
-0.0775146	-0.114441
-0.0341797	-0.110474
0.0231934	-0.107117
0.078125	-0.103455
0.106201	-0.0985718
0.104065	-0.093689
0.0839233	-0.0900269
0.0411987	-0.0881958
-0.0189209	-0.0875854
-0.0579834	-0.0872803
-0.0598145	-0.0863647
-0.0454712	-0.0854492
-0.0234985	-0.0845337
-0.0180054	-0.0827026
-0.000305176	-0.0793457
0.0289917	-0.0747681
0.03479	-0.0695801
0.0286865	-0.0637817
0.000305176	-0.0582886
-0.0280762	-0.0543213
-0.0238037	-0.0527954
-0.00335693	-0.0524902
0.0308228	-0.0521851
0.065918	-0.0518799
0.0747681	-0.0521851
0.0650024	-0.0540161
0.0445557	-0.0558472
0.00366211	-0.0564575
-0.032959	-0.0552368
-0.0561523	-0.0534058
-0.0827026	-0.0515747
-0.0946045	-0.0488281
-0.101013	-0.0439453
-0.0836182	-0.0375366
-0.0299072	-0.0305176
0.0106812	-0.0241089
0.0253296	-0.0183105
0.0396729	-0.0128174
0.0588989	-0.00823975
0.0860596	-0.00427246
0.0909424	-0.000915527
0.0527954	0.00274658
0.0198364	0.00610352
-0.00183105	0.00762939
-0.032959	0.00854492
-0.0521851	0.010376
-0.0634766	0.0119019
-0.0537109	0.0128174
-0.0308228	0.0128174
-0.032959	0.0128174
-0.0198364	0.012207
0.0146484	0.0115967
0.0387573	0.0112915
0.0427246	0.0119019
0.0372314	0.0134277
0.0250244	0.0164795
0.0143433	0.0195313
-0.00579834	0.0210571
-0.0335693	0.0213623
-0.0180054	0.0210571
0.00732422	0.0195313
0.0137329	0.0170898
0.0247192	0.0149536
0.0177002	0.0112915
0.0109863	0.00518799
0.010376	-0.00183105
-0.0128174	-0.0088501
-0.0216675	-0.0149536
-0.0125122	-0.0201416
-0.0201416	-0.0262451
-0.0167847	-0.0335693
-0.0109863	-0.0418091
-0.0222778	-0.0509644
-0.0189209	-0.0601196
-0.0192261	-0.0674438
-0.0183105	-0.0735474
0.0137329	-0.0778198
0.0283813	-0.0814819
0.017395	-0.0842285
0.0253296	-0.085144
0.032959	-0.0848389
0.0341797	-0.0845337
0.0296021	-0.0839233
-0.0125122	-0.0842285
-0.0488281	-0.0857544
-0.0396729	-0.0891113
-0.022583	-0.0921631
0.00640869	-0.0949097
0.0366211	-0.0970459
0.0341797	-0.0985718
0.0354004	-0.0985718
0.0424194	-0.0985718
0.0234985	-0.0991821
0.0177002	-0.0994873
-0.012207	-0.0994873
-0.10498	-0.0991821
-0.194397	-0.0979614
-0.213928	-0.0973511
-0.133667	-0.0973511
0.0125122	-0.0976563
0.119934	-0.0976563
0.159302	-0.0958252
0.174561	-0.0921631
0.160217	-0.0875854
0.122681	-0.083313
0.0744629	-0.0811768
-0.0109863	-0.0802612
-0.0775146	-0.0787354
-0.0827026	-0.0772095
-0.0680542	-0.0769043
-0.022583	-0.0762939
0.0332642	-0.0747681
0.0280762	-0.0735474
-0.0241089	-0.0720215
-0.0869751	-0.0695801
-0.149231	-0.0668335
-0.162354	-0.0634766
-0.105591	-0.0592041
-0.0326538	-0.0549316
0.0622559	-0.0512695
0.151062	-0.0494385
0.177307	-0.0491333
0.182495	-0.0494385
0.158081	-0.0485229
0.0671387	-0.0469971
-0.0244141	-0.0448608
-0.0878906	-0.0430298
-0.137939	-0.0424194
-0.144958	-0.0427246
-0.116882	-0.0427246
-0.0769043	-0.0418091
-0.0100708	-0.0393677
0.0378418	-0.0357056
0.0338745	-0.0320435
0.0393677	-0.0302124
0.0497437	-0.0292969
0.0323486	-0.0283813
0.0146484	-0.0274658
0.00457764	-0.0280762
0.00610352	-0.0299072
0.0292969	-0.0323486
0.0350952	-0.0341797
0.0164795	-0.0354004
0.0106812	-0.0357056
0.00488281	-0.03479
-0.0119019	-0.0335693
-0.0219727	-0.0308228
-0.0289917	-0.0259399
-0.0335693	-0.0189209
-0.0170898	-0.0119019
0.00213623	-0.00549316
-0.00213623	-0.000915527
-0.0201416	0.00213623
-0.027771	0.00396729
-0.0140381	0.00518799
0.0183105	0.00488281
0.0363159	0.00274658
0.0222778	0.0012207
0.00701904	0.000305176
0.00305176	-0.000305176
0.00335693	0
0.00457764	0.0012207
0.00518799	0.00244141
-0.00488281	0.00396729
-0.0183105	0.00518799
-0.027771	0.00488281
-0.038147	0.00396729
-0.0384521	0.00274658
-0.0296021	0.000915527
-0.0140381	-0.000610352
0.00549316	-0.00152588
0.0299072	-0.00274658
0.0418091	-0.00457764
0.0424194	-0.00579834
0.0384521	-0.00549316
0.0335693	-0.00427246
0.0253296	-0.00213623
0.0210571	0.000915527
0.000915527	0.00366211
-0.027771	0.00579834
-0.0369263	0.00793457
-0.0457764	0.00976563
-0.0469971	0.010376
-0.0314331	0.0106812
-0.0143433	0.0106812
0.00457764	0.0109863
0.0256348	0.0115967
0.0354004	0.0125122
0.0280762	0.0140381
0.0170898	0.0152588
0.00854492	0.0158691
-0.0012207	0.0161743
0.000610352	0.0161743
-0.00610352	0.0152588
-0.00701904	0.0143433
0.012207	0.0140381
0.0280762	0.0137329
0.0286865	0.0128174
0.0137329	0.0115967
-0.0253296	0.010376
-0.072937	0.010376
-0.0967407	0.0112915
-0.0854492	0.012207
-0.045166	0.0134277
0.0109863	0.0143433
0.0534058	0.015564
0.0753784	0.0161743
0.0961304	0.0170898
0.116577	0.0189209
0.102844	0.0219727
0.0582886	0.0247192
0.00671387	0.0265503
-0.0463867	0.0283813
-0.0820923	0.0311279
-0.0933838	0.0350952
-0.104065	0.0405884
-0.098877	0.0473022
-0.067749	0.0552368
-0.0247192	0.062561
0.0143433	0.0701904
0.0485229	0.0790405
0.0527954	0.090332
0.0396729	0.101318
0.0350952	0.110779
0.0360107	0.119324
0.0387573	0.127869
0.0375366	0.136719
0.0210571	0.145874
-0.0100708	0.15564
-0.0396729	0.166626
-0.067749	0.177917
-0.0723267	0.188293
-0.0524902	0.198364
-0.0332642	0.210571
-0.020752	0.223999
0.00793457	0.237122
0.0473022	0.249634
0.0769043	0.259399
0.0811768	0.265808
0.0494385	0.26886
0.0234985	0.268555
0.0216675	0.265503
0.0180054	0.259399
-0.0125122	0.250244
-0.0350952	0.237732
-0.0476074	0.221863
-0.0646973	0.202637
-0.0500488	0.182495
-0.0256348	0.161743
-0.00793457	0.141602
0.0161743	0.122375
0.0109863	0.104065
0.0161743	0.0869751
0.0357056	0.0708008
0.0366211	0.0552368
0.0442505	0.0411987
0.0537109	0.0296021
0.0427246	0.0210571
0.00549316	0.0149536
-0.0350952	0.0109863
-0.0469971	0.00823975
-0.0363159	0.00640869
-0.0369263	0.00640869
-0.0512695	0.00823975
-0.0585938	0.0109863
-0.0497437	0.012207
-0.039978	0.0112915
-0.039978	0.00823975
-0.0274658	0.00213623
0.00854492	-0.00823975
0.0595093	-0.0219727
0.0982666	-0.03479
0.125427	-0.0436401
0.11261	-0.0463867
0.0646973	-0.0408936
0.0253296	-0.0231934
-0.0259399	0.00915527
-0.0653076	0.0576782
-0.0714111	0.122986
-0.0942993	0.205078
-0.106201	0.303955
-0.0808716	0.419922
-0.0305176	0.549316
0.0344849	0.684204
0.0848389	0.81543
0.100098	0.93689
0.0985718	1.04309
0.0857544	1.12579
0.0415039	1.17706
-0.00915527	1.1911
-0.0384521	1.16608
-0.0628662	1.10016
-0.0897217	0.995789
-0.109558	0.860901
-0.122986	0.707397
-0.115662	0.547791
-0.0762939	0.393677
-0.0109863	0.255432
0.0720215	0.140686
0.153198	0.0531006
0.201721	-0.00518799
0.185547	-0.0344849
0.111694	-0.0390625
0.00152588	-0.0256348
-0.0866699	-0.00274658
-0.0842285	0.0222778
0.0134277	0.0439453
0.112915	0.0576782
0.0964355	0.0634766
-0.0231934	0.0637817
-0.172424	0.0601196
-0.267639	0.0540161
-0.227051	0.0466919
-0.0509644	0.0393677
0.176086	0.0341797
0.314026	0.0323486
0.255432	0.0332642
0.0701904	0.0354004
-0.101013	0.0378418
-0.243225	0.0396729
-0.346375	0.0405884
-0.350342	0.0396729
-0.248108	0.0390625
-0.0787354	0.0387573
0.101318	0.0390625
0.238037	0.039978
0.351563	0.0415039
0.419922	0.0436401
0.38208	0.0457764
0.268555	0.0482178
0.116577	0.050354
-0.0973511	0.0512695
-0.292358	0.0512695
-0.422668	0.0521851
-0.460815	0.0531006
-0.366516	0.0531006
-0.200806	0.0534058
-0.0219727	0.055542
0.136414	0.0585938
0.248718	0.0628662
0.303955	0.0683594
0.28656	0.0750732
0.224304	0.0811768
0.151672	0.0857544
0.085144	0.0897217
0.0271606	0.0927734
-0.0393677	0.0942993
-0.0888062	0.0927734
-0.111694	0.0891113
-0.132751	0.0842285
-0.124207	0.0805664
-0.0909424	0.0799561
-0.0537109	0.0811768
-0.0158691	0.0836182
-0.0149536	0.0863647
-0.0216675	0.090332
-0.00457764	0.0952148
-0.00152588	0.100708
0.0012207	0.105286
-0.000305176	0.108337
-0.0320435	0.110779
-0.0308228	0.112
-0.00213623	0.112
0.0289917	0.111389
0.0595093	0.110474
0.0613403	0.110779
0.0466919	0.11261
0.0396729	0.115662
0.012207	0.119324
-0.0210571	0.123596
-0.0341797	0.128479
-0.0341797	0.133667
-0.0317383	0.138245
-0.0363159	0.141602
-0.0234985	0.143738
0.00518799	0.145569
0.0314331	0.146484
0.0506592	0.14801
0.0402832	0.150757
0.0421143	0.153503
0.0527954	0.155945
0.0357056	0.159607
0.010376	0.163879
-0.0201416	0.168457
-0.0436401	0.17334
-0.0311279	0.178223
-0.0198364	0.1828
-0.0109863	0.186462
-0.0137329	0.188904
-0.0274658	0.190735
-0.0292969	0.192871
-0.0247192	0.193787
-0.0186157	0.193481
-0.0115967	0.193787
0.00274658	0.196228
0.0250244	0.200195
0.0479126	0.204163
0.0616455	0.207214
0.0445557	0.209961
0.0125122	0.212097
-0.00396729	0.214844
-0.0244141	0.218506
-0.0430298	0.221863
-0.0616455	0.223999
-0.0714111	0.224304
-0.0469971	0.222778
-0.0259399	0.221558
-0.0204468	0.221558
-0.000610352	0.222778
0.0244141	0.223694
0.0521851	0.223999
0.0704956	0.223999
0.072937	0.223999
0.0762939	0.224304
0.0582886	0.224609
0.0183105	0.226135
-0.0256348	0.228271
-0.0628662	0.230713
-0.0616455	0.231934
-0.0582886	0.231323
-0.0460815	0.231018
-0.0265503	0.231628
-0.0115967	0.230408
0.0088501	0.226746
0.0137329	0.221863
0.0213623	0.21637
0.0344849	0.210571
0.0357056	0.202942
0.0238037	0.193481
0.0131226	0.184021
0.0100708	0.175171
0	0.167236
-0.00305176	0.159607
-0.0201416	0.152588
-0.0177002	0.145569
-0.0109863	0.139771
-0.0247192	0.135193
-0.0183105	0.131226
-0.0112915	0.126953
0.00671387	0.122375
0.0219727	0.117798
0.0146484	0.11322
0.0180054	0.109253
0.00549316	0.107117
-0.00976563	0.106812
0	0.106812
0.0149536	0.106201
0.0253296	0.10498
0.00823975	0.104675
-0.0161743	0.105591
-0.0262451	0.106812
-0.0195313	0.107422
-0.0106812	0.106812
-0.00762939	0.105286
-0.0112915	0.101624
-0.00183105	0.0979614
-0.0198364	0.09552
-0.100403	0.0952148
-0.140686	0.0949097
-0.088501	0.0942993
0.0152588	0.093689
0.126343	0.093689
0.173035	0.0949097
0.167236	0.0970459
0.134583	0.098877
0.0784302	0.100098
-0.000610352	0.100403
-0.0811768	0.101013
-0.158691	0.102539
-0.171814	0.10498
-0.102844	0.107727
-0.00732422	0.110779
0.0872803	0.113525
0.118408	0.115356
0.0775146	0.116272
0.0268555	0.115662
-0.0244141	0.113525
-0.0527954	0.112305
-0.0488281	0.112305
-0.0387573	0.112
-0.00762939	0.111389
0.0262451	0.110779
0.0378418	0.110474
0.0378418	0.112305
0.0177002	0.115356
-0.00579834	0.118713
-0.0186157	0.122375
-0.050354	0.126038
-0.0640869	0.128479
-0.0717163	0.129395
-0.0637817	0.126953
-0.0186157	0.122986
0.0418091	0.119934
0.108337	0.119324
0.136414	0.119629
0.105591	0.119629
0.0445557	0.119934
-0.012207	0.12085
-0.0360107	0.122375
-0.0473022	0.123901
-0.0488281	0.125732
-0.0634766	0.126953
-0.0524902	0.127869
-0.0421143	0.127869
