L I	L III	L II(Calc.)
-0.00976563	-0.118408	-0.128174
-0.00610352	-0.121155	-0.127258
-0.00335693	-0.123596	-0.126953
-0.00183105	-0.124817	-0.126648
-0.00183105	-0.124512	-0.126343
-0.00213623	-0.122986	-0.125122
-0.00427246	-0.120239	-0.124512
-0.00793457	-0.116882	-0.124817
-0.0119019	-0.113831	-0.125732
-0.0158691	-0.110779	-0.126648
-0.0204468	-0.108643	-0.129089
-0.0241089	-0.106506	-0.130615
-0.0259399	-0.105286	-0.131226
-0.0256348	-0.10437	-0.130005
-0.0247192	-0.103455	-0.128174
-0.0244141	-0.101929	-0.126343
-0.0241089	-0.100098	-0.124207
-0.0231934	-0.098877	-0.12207
-0.0222778	-0.0973511	-0.119629
-0.0210571	-0.0967407	-0.117798
-0.0195313	-0.0973511	-0.116882
-0.0177002	-0.0985718	-0.116272
-0.0167847	-0.0997925	-0.116577
-0.015564	-0.101929	-0.117493
-0.0128174	-0.104675	-0.117493
-0.00823975	-0.108643	-0.116882
-0.00305176	-0.11261	-0.115662
0.00183105	-0.115967	-0.114136
0.00579834	-0.117798	-0.112
0.00854492	-0.118103	-0.109558
0.00976563	-0.116577	-0.106812
0.0100708	-0.113525	-0.103455
0.010376	-0.110474	-0.100098
0.00946045	-0.107117	-0.0976563
0.00732422	-0.103455	-0.0961304
0.00579834	-0.100403	-0.0946045
0.00549316	-0.098877	-0.0933838
0.00549316	-0.0982666	-0.0927734
0.00640869	-0.0982666	-0.0918579
0.00823975	-0.098877	-0.0906372
0.0106812	-0.098877	-0.0881958
0.0131226	-0.0985718	-0.0854492
0.0152588	-0.0982666	-0.0830078
0.017395	-0.0985718	-0.0811768
0.0195313	-0.0985718	-0.0790405
0.0210571	-0.0985718	-0.0775146
0.022583	-0.0982666	-0.0756836
0.0241089	-0.0982666	-0.0741577
0.0253296	-0.0982666	-0.072937
0.0262451	-0.0985718	-0.0723267
0.0268555	-0.098877	-0.0720215
0.027771	-0.098877	-0.071106
0.0292969	-0.098877	-0.0695801
0.0308228	-0.0985718	-0.067749
0.0320435	-0.0985718	-0.0665283
0.0332642	-0.0994873	-0.0662231
0.0357056	-0.100708	-0.0650024
0.0393677	-0.101929	-0.062561
0.043335	-0.102539	-0.0592041
0.0463867	-0.103149	-0.0567627
0.0497437	-0.10437	-0.0546265
0.0531006	-0.107422	-0.0543213
0.055542	-0.111694	-0.0561523
0.0570679	-0.116272	-0.0592041
0.0582886	-0.120544	-0.0622559
0.057373	-0.124207	-0.0668335
0.0561523	-0.127258	-0.071106
0.055542	-0.130005	-0.0744629
0.0561523	-0.132446	-0.0762939
0.057373	-0.134583	-0.0772095
0.0598145	-0.136719	-0.0769043
0.062561	-0.138855	-0.0762939
0.065918	-0.140076	-0.0741577
0.0683594	-0.139771	-0.0714111
0.0704956	-0.138245	-0.067749
0.0714111	-0.135803	-0.0643921
0.0704956	-0.133057	-0.062561
0.0683594	-0.13031	-0.0619507
0.0665283	-0.127869	-0.0613403
0.0650024	-0.125732	-0.06073
0.0631714	-0.124207	-0.0610352
0.0613403	-0.123596	-0.0622559
0.0601196	-0.122375	-0.0622559
0.0595093	-0.120544	-0.0610352
0.0588989	-0.118103	-0.0592041
0.0582886	-0.115356	-0.0570679
0.0570679	-0.112915	-0.0558472
0.055542	-0.109863	-0.0543213
0.0518799	-0.105286	-0.0534058
0.0460815	-0.098877	-0.0527954
0.0390625	-0.0915527	-0.0524902
0.0326538	-0.0848389	-0.0521851
0.0265503	-0.078125	-0.0515747
0.0213623	-0.0717163	-0.050354
0.0167847	-0.0656128	-0.0488281
0.012207	-0.0604248	-0.0482178
0.00732422	-0.0558472	-0.0485229
0.00305176	-0.0518799	-0.0488281
-0.0012207	-0.0479126	-0.0491333
-0.00488281	-0.0442505	-0.0491333
-0.00915527	-0.0411987	-0.050354
-0.0146484	-0.038147	-0.0527954
-0.0201416	-0.0354004	-0.055542
-0.0265503	-0.0326538	-0.0592041
-0.0335693	-0.0299072	-0.0634766
-0.0390625	-0.0280762	-0.0671387
-0.0427246	-0.0268555	-0.0695801
-0.0445557	-0.0262451	-0.0708008
-0.0457764	-0.0256348	-0.0714111
-0.0466919	-0.0250244	-0.0717163
-0.0476074	-0.0247192	-0.0723267
-0.0482178	-0.0241089	-0.0723267
-0.0482178	-0.0241089	-0.0723267
-0.0469971	-0.0253296	-0.0723267
-0.0454712	-0.0268555	-0.0723267
-0.0442505	-0.0283813	-0.0726318
-0.0436401	-0.0289917	-0.0726318
-0.0439453	-0.0286865	-0.0726318
-0.0448608	-0.027771	-0.0726318
-0.0457764	-0.0268555	-0.0726318
-0.0460815	-0.0262451	-0.0723267
-0.0460815	-0.0256348	-0.0717163
-0.0460815	-0.0247192	-0.0708008
-0.0457764	-0.0238037	-0.0695801
-0.0454712	-0.0219727	-0.0674438
-0.0460815	-0.0198364	-0.065918
-0.0476074	-0.0177002	-0.0653076
-0.0494385	-0.0161743	-0.0656128
-0.0500488	-0.0158691	-0.065918
-0.0500488	-0.0164795	-0.0665283
-0.050354	-0.0170898	-0.0674438
-0.0509644	-0.0177002	-0.0686646
-0.0515747	-0.0183105	-0.0698853
-0.0509644	-0.0189209	-0.0698853
-0.0497437	-0.0195313	-0.0692749
-0.0488281	-0.0204468	-0.0692749
-0.0473022	-0.0210571	-0.0683594
-0.0460815	-0.0210571	-0.0671387
-0.0454712	-0.0204468	-0.065918
-0.0442505	-0.0198364	-0.0640869
-0.0427246	-0.0198364	-0.062561
-0.0415039	-0.0204468	-0.0619507
-0.0405884	-0.0210571	-0.0616455
-0.0393677	-0.0216675	-0.0610352
-0.0378418	-0.022583	-0.0604248
-0.0363159	-0.0231934	-0.0595093
-0.0354004	-0.0244141	-0.0598145
-0.0335693	-0.0262451	-0.0598145
-0.0308228	-0.0283813	-0.0592041
-0.0280762	-0.0296021	-0.0576782
-0.0268555	-0.0299072	-0.0567627
-0.0262451	-0.0296021	-0.0558472
-0.0259399	-0.0292969	-0.0552368
-0.0256348	-0.0289917	-0.0546265
-0.0253296	-0.0286865	-0.0540161
-0.0256348	-0.0280762	-0.0537109
-0.0271606	-0.0268555	-0.0540161
-0.0286865	-0.0253296	-0.0540161
-0.0296021	-0.0241089	-0.0537109
-0.0305176	-0.022583	-0.0531006
-0.0311279	-0.0216675	-0.0527954
-0.0317383	-0.0204468	-0.0521851
-0.0314331	-0.0186157	-0.0500488
-0.0311279	-0.0167847	-0.0479126
-0.0302124	-0.015564	-0.0457764
-0.0292969	-0.0152588	-0.0445557
-0.027771	-0.0149536	-0.0427246
-0.0265503	-0.0140381	-0.0405884
-0.0244141	-0.0131226	-0.0375366
-0.0219727	-0.0131226	-0.0350952
-0.0201416	-0.0134277	-0.0335693
-0.0192261	-0.0134277	-0.0326538
-0.0195313	-0.0128174	-0.0323486
-0.0204468	-0.012207	-0.0326538
-0.0216675	-0.0112915	-0.032959
-0.0228882	-0.0109863	-0.0338745
-0.0238037	-0.010376	-0.0341797
-0.0241089	-0.0100708	-0.0341797
-0.0241089	-0.00976563	-0.0338745
-0.0247192	-0.00946045	-0.0341797
-0.0253296	-0.0100708	-0.0354004
-0.0253296	-0.010376	-0.0357056
-0.0253296	-0.0100708	-0.0354004
-0.0250244	-0.0100708	-0.0350952
-0.0234985	-0.0112915	-0.03479
-0.0216675	-0.0131226	-0.03479
-0.0198364	-0.015564	-0.0354004
-0.0186157	-0.0180054	-0.0366211
-0.0180054	-0.0198364	-0.0378418
-0.0183105	-0.0213623	-0.0396729
-0.0195313	-0.0234985	-0.0430298
-0.0204468	-0.0259399	-0.0463867
-0.020752	-0.0289917	-0.0497437
-0.0213623	-0.0323486	-0.0537109
-0.022583	-0.03479	-0.057373
-0.0247192	-0.0363159	-0.0610352
-0.0271606	-0.0372314	-0.0643921
-0.0292969	-0.0372314	-0.0665283
-0.0305176	-0.0360107	-0.0665283
-0.0308228	-0.0332642	-0.0640869
-0.0305176	-0.0286865	-0.0592041
-0.0305176	-0.022583	-0.0531006
-0.0305176	-0.0149536	-0.0454712
-0.0305176	-0.00610352	-0.0366211
-0.0305176	0.00335693	-0.0271606
-0.0305176	0.0128174	-0.0177002
-0.0302124	0.0210571	-0.00915527
-0.0299072	0.027771	-0.00213623
-0.0289917	0.0323486	0.00335693
-0.0274658	0.0357056	0.00823975
-0.0256348	0.0390625	0.0134277
-0.0250244	0.0430298	0.0180054
-0.0253296	0.0473022	0.0219727
-0.0259399	0.0537109	0.027771
-0.0274658	0.0628662	0.0354004
-0.0292969	0.0741577	0.0448608
-0.0292969	0.0869751	0.0576782
