L I	L III	L II(Calc.)
-0.0814819	-0.0100708	-0.0915527
-0.0808716	-0.0109863	-0.0918579
-0.0802612	-0.0125122	-0.0927734
-0.0802612	-0.0137329	-0.0939941
-0.0817871	-0.0143433	-0.0961304
-0.0839233	-0.0146484	-0.0985718
-0.0854492	-0.0161743	-0.101624
-0.0848389	-0.0195313	-0.10437
-0.0820923	-0.0238037	-0.105896
-0.0799561	-0.0268555	-0.106812
-0.0799561	-0.0274658	-0.107422
-0.0805664	-0.0268555	-0.107422
-0.0802612	-0.0262451	-0.106506
-0.0790405	-0.0262451	-0.105286
-0.078125	-0.0259399	-0.104065
-0.078125	-0.0250244	-0.103149
-0.0793457	-0.0228882	-0.102234
-0.0796509	-0.0213623	-0.101013
-0.0799561	-0.0198364	-0.0997925
-0.0817871	-0.0170898	-0.098877
-0.0839233	-0.0146484	-0.0985718
-0.0839233	-0.0134277	-0.0973511
-0.0823975	-0.0134277	-0.0958252
-0.0793457	-0.0146484	-0.0939941
-0.0756836	-0.0164795	-0.0921631
-0.0723267	-0.0189209	-0.0912476
-0.0698853	-0.0210571	-0.0909424
-0.0695801	-0.0222778	-0.0918579
-0.0698853	-0.022583	-0.0924683
-0.0698853	-0.022583	-0.0924683
-0.0692749	-0.0219727	-0.0912476
-0.0686646	-0.020752	-0.0894165
-0.0692749	-0.0186157	-0.0878906
-0.0701904	-0.0158691	-0.0860596
-0.0698853	-0.0137329	-0.0836182
-0.0692749	-0.012207	-0.0814819
-0.0683594	-0.0109863	-0.0793457
-0.0671387	-0.010376	-0.0775146
-0.0656128	-0.010376	-0.0759888
-0.0637817	-0.0109863	-0.0747681
-0.0631714	-0.0106812	-0.0738525
-0.0634766	-0.00915527	-0.0726318
-0.0640869	-0.00762939	-0.0717163
-0.0646973	-0.00610352	-0.0708008
-0.0650024	-0.00488281	-0.0698853
-0.0646973	-0.00396729	-0.0686646
-0.0643921	-0.00335693	-0.067749
-0.0631714	-0.00335693	-0.0665283
-0.0613403	-0.00427246	-0.0656128
-0.0598145	-0.00518799	-0.0650024
-0.0588989	-0.00518799	-0.0640869
-0.0576782	-0.00640869	-0.0640869
-0.055542	-0.00793457	-0.0634766
-0.0537109	-0.00946045	-0.0631714
-0.0521851	-0.010376	-0.062561
-0.0509644	-0.0100708	-0.0610352
-0.0509644	-0.00915527	-0.0601196
-0.0512695	-0.00793457	-0.0592041
-0.0518799	-0.00610352	-0.0579834
-0.0521851	-0.00457764	-0.0567627
-0.0518799	-0.00335693	-0.0552368
-0.0518799	-0.00274658	-0.0546265
-0.0524902	-0.00335693	-0.0558472
-0.0537109	-0.00457764	-0.0582886
-0.0546265	-0.00518799	-0.0598145
-0.0564575	-0.00488281	-0.0613403
-0.0601196	-0.00335693	-0.0634766
-0.0653076	-0.000610352	-0.065918
-0.0701904	0.00244141	-0.067749
-0.0732422	0.00366211	-0.0695801
-0.072937	0.00213623	-0.0708008
-0.0720215	0.000305176	-0.0717163
-0.0714111	0.000305176	-0.071106
-0.0708008	0.000915527	-0.0698853
-0.0701904	0.00152588	-0.0686646
-0.0695801	0.00213623	-0.0674438
-0.0671387	0.000610352	-0.0665283
-0.0628662	-0.00305176	-0.065918
-0.0588989	-0.00671387	-0.0656128
-0.0549316	-0.0100708	-0.0650024
-0.0509644	-0.0128174	-0.0637817
-0.0485229	-0.0140381	-0.062561
-0.0476074	-0.0149536	-0.062561
-0.0466919	-0.0161743	-0.0628662
-0.0448608	-0.0177002	-0.062561
-0.043335	-0.0186157	-0.0619507
-0.0418091	-0.0189209	-0.06073
-0.0402832	-0.0189209	-0.0592041
-0.039978	-0.0189209	-0.0588989
-0.0415039	-0.0180054	-0.0595093
-0.0445557	-0.0161743	-0.06073
-0.0485229	-0.0131226	-0.0616455
-0.0531006	-0.00946045	-0.062561
-0.0576782	-0.00610352	-0.0637817
-0.0604248	-0.00396729	-0.0643921
-0.0613403	-0.00305176	-0.0643921
-0.0619507	-0.00274658	-0.0646973
-0.062561	-0.00244141	-0.0650024
-0.0637817	-0.00183105	-0.0656128
-0.0650024	-0.0012207	-0.0662231
-0.0650024	-0.0012207	-0.0662231
-0.0646973	-0.00183105	-0.0665283
-0.0646973	-0.00244141	-0.0671387
-0.0650024	-0.00305176	-0.0680542
-0.0650024	-0.00396729	-0.0689697
-0.0653076	-0.00488281	-0.0701904
-0.0665283	-0.00518799	-0.0717163
-0.067749	-0.00549316	-0.0732422
-0.0671387	-0.00671387	-0.0738525
-0.0653076	-0.00823975	-0.0735474
-0.0637817	-0.00823975	-0.0720215
-0.0631714	-0.00762939	-0.0708008
-0.062561	-0.00701904	-0.0695801
-0.0610352	-0.00793457	-0.0689697
-0.0582886	-0.00946045	-0.067749
-0.0552368	-0.0109863	-0.0662231
-0.0537109	-0.010376	-0.0640869
-0.0534058	-0.00701904	-0.0604248
-0.0537109	-0.00152588	-0.0552368
-0.0540161	0.00640869	-0.0476074
-0.0537109	0.0152588	-0.0384521
-0.050354	0.0231934	-0.0271606
-0.0454712	0.0305176	-0.0149536
-0.043335	0.0378418	-0.00549316
-0.0445557	0.0457764	0.0012207
-0.0463867	0.0527954	0.00640869
-0.0473022	0.0592041	0.0119019
-0.0485229	0.0653076	0.0167847
-0.0497437	0.0698853	0.0201416
-0.0506592	0.0741577	0.0234985
-0.0518799	0.0790405	0.0271606
-0.0540161	0.0866699	0.0326538
-0.0570679	0.0982666	0.0411987
-0.0598145	0.112915	0.0531006
-0.062561	0.129395	0.0668335
-0.0653076	0.146484	0.0811768
-0.0668335	0.162048	0.0952148
-0.067749	0.175781	0.108032
-0.0683594	0.185852	0.117493
-0.0674438	0.19043	0.122986
-0.0643921	0.188599	0.124207
-0.0601196	0.181274	0.121155
-0.0552368	0.169678	0.114441
-0.0506592	0.155029	0.10437
-0.0457764	0.138245	0.0924683
-0.0415039	0.120239	0.0787354
-0.0387573	0.102234	0.0634766
-0.0375366	0.0848389	0.0473022
-0.0378418	0.0683594	0.0305176
-0.0393677	0.0531006	0.0137329
-0.0427246	0.0384521	-0.00427246
-0.0473022	0.0238037	-0.0234985
-0.0515747	0.00854492	-0.0430298
-0.0543213	-0.00701904	-0.0613403
-0.0561523	-0.0231934	-0.0793457
-0.057373	-0.0384521	-0.0958252
-0.0579834	-0.0521851	-0.110168
-0.0595093	-0.0637817	-0.123291
-0.0619507	-0.072937	-0.134888
-0.0637817	-0.0799561	-0.143738
-0.065918	-0.0836182	-0.149536
-0.0674438	-0.0845337	-0.151978
-0.0692749	-0.0830078	-0.152283
-0.071106	-0.0796509	-0.150757
-0.0723267	-0.0756836	-0.14801
-0.0726318	-0.0726318	-0.145264
-0.0720215	-0.0714111	-0.143433
-0.0704956	-0.0738525	-0.144348
-0.0671387	-0.0805664	-0.147705
-0.0613403	-0.0918579	-0.153198
-0.0552368	-0.105896	-0.161133
-0.0497437	-0.12207	-0.171814
-0.0442505	-0.13916	-0.183411
-0.0357056	-0.15625	-0.191956
-0.0250244	-0.169983	-0.195007
-0.0137329	-0.176086	-0.189819
-0.00213623	-0.170593	-0.172729
0.0106812	-0.151672	-0.140991
0.0238037	-0.117798	-0.0939941
0.0360107	-0.0671387	-0.0311279
0.0463867	0.0012207	0.0476074
0.0546265	0.0875854	0.142212
0.0601196	0.192261	0.25238
0.0634766	0.310669	0.374146
0.0671387	0.43396	0.501099
0.0738525	0.552673	0.626526
0.0817871	0.6604	0.742188
0.0900269	0.751038	0.841064
0.098877	0.816345	0.915222
0.109558	0.849304	0.958862
0.118713	0.846558	0.965271
0.121765	0.809326	0.931091
0.116577	0.740967	0.857544
0.10376	0.644226	0.747986
0.0842285	0.526428	0.610657
0.0598145	0.397644	0.457458
0.0317383	0.268555	0.300293
0.00244141	0.148315	0.150757
-0.0265503	0.043335	0.0167847
-0.0531006	-0.0408936	-0.0939941
-0.0738525	-0.102234	-0.176086
-0.0869751	-0.141602	-0.228577
-0.0906372	-0.162354	-0.252991
-0.0866699	-0.168152	-0.254822
-0.0775146	-0.163574	-0.241089
-0.0665283	-0.153198	-0.219727
-0.0558472	-0.140076	-0.195923
-0.0466919	-0.128174	-0.174866
-0.0387573	-0.120544	-0.159302
-0.0323486	-0.117188	-0.149536
-0.0286865	-0.117188	-0.145874
-0.0286865	-0.119019	-0.147705
-0.0299072	-0.123596	-0.153503
-0.0314331	-0.129395	-0.160828
-0.032959	-0.135803	-0.168762
-0.03479	-0.141296	-0.176086
-0.0369263	-0.144958	-0.181885
-0.0393677	-0.14679	-0.186157
-0.0421143	-0.147095	-0.189209
-0.0448608	-0.146179	-0.19104
-0.0466919	-0.144653	-0.191345
-0.0473022	-0.142517	-0.189819
-0.0476074	-0.13916	-0.186768
-0.0476074	-0.135498	-0.183105
-0.0460815	-0.132446	-0.178528
-0.0427246	-0.130615	-0.17334
-0.0384521	-0.130615	-0.169067
-0.0341797	-0.131531	-0.16571
-0.0305176	-0.131836	-0.162354
-0.0283813	-0.131836	-0.160217
-0.0259399	-0.132751	-0.158691
-0.0228882	-0.134583	-0.157471
-0.0198364	-0.136719	-0.156555
-0.017395	-0.137939	-0.155334
-0.0167847	-0.137939	-0.154724
-0.0177002	-0.136414	-0.154114
-0.0195313	-0.133057	-0.152588
-0.0222778	-0.128479	-0.150757
-0.0250244	-0.123596	-0.148621
-0.0280762	-0.118713	-0.14679
-0.0314331	-0.114136	-0.145569
-0.03479	-0.109253	-0.144043
-0.0378418	-0.10437	-0.142212
-0.0402832	-0.100403	-0.140686
-0.0402832	-0.0991821	-0.139465
-0.038147	-0.101318	-0.139465
-0.0338745	-0.105591	-0.139465
-0.0289917	-0.109863	-0.138855
-0.0250244	-0.113525	-0.13855
-0.022583	-0.115356	-0.137939
-0.020752	-0.116882	-0.137634
-0.0170898	-0.120239	-0.137329
-0.0125122	-0.124512	-0.137024
-0.0088501	-0.127869	-0.136719
-0.00671387	-0.128784	-0.135498
-0.00610352	-0.127563	-0.133667
-0.00671387	-0.125427	-0.132141
-0.00732422	-0.123291	-0.130615
-0.00549316	-0.122375	-0.127869
-0.00152588	-0.123291	-0.124817
0.00366211	-0.124207	-0.120544
0.00793457	-0.124512	-0.116577
0.010376	-0.122986	-0.11261
0.00946045	-0.119934	-0.110474
0.00549316	-0.115967	-0.110474
0.00183105	-0.11261	-0.110779
-0.000305176	-0.109863	-0.110168
-0.00183105	-0.107727	-0.109558
-0.00366211	-0.105896	-0.109558
-0.00579834	-0.104065	-0.109863
-0.00732422	-0.102844	-0.110168
-0.00762939	-0.102234	-0.109863
-0.00610352	-0.102539	-0.108643
-0.00244141	-0.10376	-0.106201
0.00183105	-0.105591	-0.10376
0.00518799	-0.106812	-0.101624
0.00823975	-0.108032	-0.0997925
0.0109863	-0.108032	-0.0970459
0.0131226	-0.108032	-0.0949097
0.0152588	-0.108032	-0.0927734
0.017395	-0.108032	-0.0906372
0.0189209	-0.108643	-0.0897217
0.0192261	-0.108337	-0.0891113
0.0192261	-0.106812	-0.0875854
0.0210571	-0.106201	-0.085144
0.0244141	-0.107727	-0.083313
0.027771	-0.109253	-0.0814819
0.0302124	-0.110474	-0.0802612
0.0311279	-0.110474	-0.0793457
0.0308228	-0.109253	-0.0784302
0.0308228	-0.108643	-0.0778198
0.0326538	-0.109558	-0.0769043
0.0369263	-0.112	-0.0750732
0.0427246	-0.115356	-0.0726318
0.0482178	-0.118103	-0.0698853
0.0537109	-0.121155	-0.0674438
0.0598145	-0.124207	-0.0643921
0.0662231	-0.127563	-0.0613403
0.071106	-0.13092	-0.0598145
0.0744629	-0.133667	-0.0592041
0.0765991	-0.135498	-0.0588989
0.0765991	-0.135193	-0.0585938
0.0756836	-0.134277	-0.0585938
0.0738525	-0.132141	-0.0582886
0.0701904	-0.128174	-0.0579834
0.0662231	-0.123596	-0.057373
0.0628662	-0.120239	-0.057373
0.0595093	-0.116882	-0.057373
0.0570679	-0.113831	-0.0567627
0.0561523	-0.112	-0.0558472
0.0564575	-0.111084	-0.0546265
0.0567627	-0.111084	-0.0543213
0.0564575	-0.111084	-0.0546265
0.0543213	-0.109558	-0.0552368
0.0515747	-0.107117	-0.055542
0.0491333	-0.10437	-0.0552368
0.0463867	-0.101013	-0.0546265
0.0430298	-0.0973511	-0.0543213
0.0390625	-0.0942993	-0.0552368
0.0357056	-0.0921631	-0.0564575
0.0326538	-0.090332	-0.0576782
0.0299072	-0.0891113	-0.0592041
0.0262451	-0.0881958	-0.0619507
0.0213623	-0.0875854	-0.0662231
0.0164795	-0.0878906	-0.0714111
0.0128174	-0.0888062	-0.0759888
0.0100708	-0.0894165	-0.0793457
0.00671387	-0.0894165	-0.0827026
0.0012207	-0.0878906	-0.0866699
-0.00640869	-0.0854492	-0.0918579
-0.0152588	-0.0820923	-0.0973511
-0.0238037	-0.0790405	-0.102844
-0.0308228	-0.0769043	-0.107727
-0.0360107	-0.0759888	-0.112
-0.039978	-0.0759888	-0.115967
-0.0436401	-0.0759888	-0.119629
-0.0469971	-0.0756836	-0.122681
-0.0494385	-0.0765991	-0.126038
-0.0509644	-0.078125	-0.129089
-0.0518799	-0.0805664	-0.132446
-0.0534058	-0.0836182	-0.137024
-0.055542	-0.0857544	-0.141296
-0.057373	-0.0875854	-0.144958
-0.0592041	-0.088501	-0.147705
-0.0619507	-0.0881958	-0.150146
-0.0653076	-0.0869751	-0.152283
-0.0689697	-0.0848389	-0.153809
-0.0720215	-0.0823975	-0.154419
-0.0741577	-0.0793457	-0.153503
-0.0750732	-0.0765991	-0.151672
-0.0747681	-0.0741577	-0.148926
-0.0744629	-0.0720215	-0.146484
-0.0732422	-0.071106	-0.144348
-0.0714111	-0.0720215	-0.143433
-0.0701904	-0.0732422	-0.143433
-0.0698853	-0.0747681	-0.144653
-0.0689697	-0.0769043	-0.145874
-0.0671387	-0.0799561	-0.147095
-0.0646973	-0.083313	-0.14801
-0.0613403	-0.0872803	-0.148621
-0.0579834	-0.0912476	-0.149231
-0.0534058	-0.0942993	-0.147705
-0.0479126	-0.0964355	-0.144348
-0.0427246	-0.0976563	-0.140381
-0.0387573	-0.0985718	-0.137329
-0.0357056	-0.0994873	-0.135193
-0.0323486	-0.100708	-0.133057
-0.0292969	-0.101624	-0.13092
-0.0274658	-0.100708	-0.128174
-0.0274658	-0.0985718	-0.126038
-0.0280762	-0.0952148	-0.123291
-0.0302124	-0.0912476	-0.12146
-0.0335693	-0.0875854	-0.121155
-0.0375366	-0.0845337	-0.12207
-0.039978	-0.0817871	-0.121765
-0.0405884	-0.0796509	-0.120239
-0.0408936	-0.0784302	-0.119324
-0.0424194	-0.0784302	-0.12085
-0.0442505	-0.0796509	-0.123901
-0.0448608	-0.0808716	-0.125732
-0.0448608	-0.0823975	-0.127258
-0.0445557	-0.083313	-0.127869
-0.0460815	-0.0830078	-0.129089
-0.0491333	-0.0814819	-0.130615
-0.0527954	-0.0802612	-0.133057
-0.0558472	-0.0787354	-0.134583
-0.0582886	-0.0769043	-0.135193
-0.0610352	-0.0738525	-0.134888
-0.0628662	-0.0701904	-0.133057
-0.0643921	-0.0671387	-0.131531
-0.0646973	-0.0656128	-0.13031
-0.0628662	-0.0650024	-0.127869
-0.06073	-0.0650024	-0.125732
-0.0585938	-0.0650024	-0.123596
