L I	L III	L II(Calc.)
-0.0552368	-0.0665283	-0.121765
-0.0506592	-0.0695801	-0.120239
-0.0457764	-0.0738525	-0.119629
-0.0405884	-0.0784302	-0.119019
-0.0363159	-0.0830078	-0.119324
-0.0335693	-0.0866699	-0.120239
-0.0317383	-0.0897217	-0.12146
-0.0296021	-0.0921631	-0.121765
-0.0274658	-0.0942993	-0.121765
-0.0265503	-0.0952148	-0.121765
-0.0268555	-0.0946045	-0.12146
-0.0283813	-0.0927734	-0.121155
-0.0308228	-0.090332	-0.121155
-0.0335693	-0.0881958	-0.121765
-0.0357056	-0.0863647	-0.12207
-0.0378418	-0.0848389	-0.122681
-0.0405884	-0.0820923	-0.122681
-0.0442505	-0.078125	-0.122375
-0.0476074	-0.0747681	-0.122375
-0.0494385	-0.072937	-0.122375
-0.0497437	-0.0732422	-0.122986
-0.0491333	-0.0747681	-0.123901
-0.0488281	-0.0753784	-0.124207
-0.0494385	-0.0747681	-0.124207
-0.0491333	-0.0744629	-0.123596
-0.0460815	-0.0765991	-0.122681
-0.0402832	-0.0802612	-0.120544
-0.0341797	-0.0848389	-0.119019
-0.0308228	-0.0881958	-0.119019
-0.0296021	-0.0900269	-0.119629
-0.0302124	-0.0906372	-0.12085
-0.0326538	-0.0897217	-0.122375
-0.0354004	-0.0881958	-0.123596
-0.038147	-0.0863647	-0.124512
-0.0415039	-0.0836182	-0.125122
-0.0454712	-0.0805664	-0.126038
-0.050354	-0.0775146	-0.127869
-0.0549316	-0.0747681	-0.1297
-0.0588989	-0.072937	-0.131836
-0.06073	-0.0732422	-0.133972
-0.0588989	-0.0753784	-0.134277
-0.0543213	-0.0793457	-0.133667
-0.0491333	-0.0845337	-0.133667
-0.0442505	-0.0888062	-0.133057
-0.0411987	-0.0915527	-0.132751
-0.0393677	-0.0933838	-0.132751
-0.0378418	-0.09552	-0.133362
-0.0363159	-0.0976563	-0.133972
-0.0344849	-0.0994873	-0.133972
-0.0326538	-0.100098	-0.132751
-0.0317383	-0.098877	-0.130615
-0.0317383	-0.0964355	-0.128174
-0.032959	-0.0939941	-0.126953
-0.0350952	-0.0921631	-0.127258
-0.0369263	-0.0912476	-0.128174
-0.038147	-0.0909424	-0.129089
-0.0393677	-0.0900269	-0.129395
-0.0415039	-0.0875854	-0.129089
-0.0448608	-0.0820923	-0.126953
-0.0482178	-0.0738525	-0.12207
-0.050354	-0.065918	-0.116272
-0.0500488	-0.0592041	-0.109253
-0.0485229	-0.0518799	-0.100403
-0.0466919	-0.0430298	-0.0897217
-0.0448608	-0.0335693	-0.0784302
-0.0424194	-0.0247192	-0.0671387
-0.0393677	-0.0183105	-0.0576782
-0.0369263	-0.0128174	-0.0497437
-0.0363159	-0.00701904	-0.043335
-0.0350952	-0.00244141	-0.0375366
-0.0335693	0.00152588	-0.0320435
-0.032959	0.00701904	-0.0259399
-0.0335693	0.0149536	-0.0186157
-0.0341797	0.0253296	-0.0088501
-0.0350952	0.0378418	0.00274658
-0.0363159	0.0521851	0.0158691
-0.0387573	0.0671387	0.0283813
-0.0418091	0.0814819	0.0396729
-0.043335	0.0939941	0.0506592
-0.043335	0.103149	0.0598145
-0.0427246	0.108948	0.0662231
-0.0424194	0.110474	0.0680542
-0.0427246	0.108032	0.0653076
-0.0430298	0.102234	0.0592041
-0.0427246	0.093689	0.0509644
-0.0415039	0.0820923	0.0405884
-0.039978	0.0686646	0.0286865
-0.0396729	0.0546265	0.0149536
-0.0424194	0.0421143	-0.000305176
-0.0473022	0.0302124	-0.0170898
-0.0521851	0.0167847	-0.0354004
-0.0564575	0.00183105	-0.0546265
-0.0598145	-0.0149536	-0.0747681
-0.0628662	-0.0323486	-0.0952148
-0.0646973	-0.050354	-0.115051
-0.0643921	-0.0683594	-0.132751
-0.0619507	-0.0863647	-0.148315
-0.0585938	-0.102844	-0.161438
-0.0546265	-0.116577	-0.171204
-0.0512695	-0.127563	-0.178833
-0.0482178	-0.135498	-0.183716
-0.0454712	-0.141296	-0.186768
-0.0418091	-0.145264	-0.187073
-0.0393677	-0.147095	-0.186462
-0.039978	-0.146179	-0.186157
-0.0421143	-0.144348	-0.186462
-0.0442505	-0.144043	-0.188293
-0.0445557	-0.146179	-0.190735
-0.0436401	-0.150452	-0.194092
-0.0424194	-0.15686	-0.19928
-0.0396729	-0.166321	-0.205994
-0.0350952	-0.179138	-0.214233
-0.0286865	-0.195007	-0.223694
-0.0219727	-0.212402	-0.234375
-0.0152588	-0.229187	-0.244446
-0.00823975	-0.241699	-0.249939
-0.000915527	-0.247803	-0.248718
0.00701904	-0.246582	-0.239563
0.0164795	-0.235596	-0.219116
0.0256348	-0.211182	-0.185547
0.0320435	-0.170593	-0.13855
0.0363159	-0.11322	-0.0769043
0.0396729	-0.0402832	-0.000610352
0.0421143	0.0494385	0.0915527
0.0442505	0.155029	0.19928
0.0463867	0.272217	0.318604
0.0515747	0.391541	0.443115
0.0610352	0.503845	0.56488
0.0744629	0.603638	0.678101
0.0897217	0.68634	0.776062
0.105286	0.744629	0.849915
0.119934	0.772095	0.892029
0.130615	0.765076	0.895691
0.133057	0.725098	0.858154
0.125732	0.654602	0.780334
0.109253	0.557556	0.666809
0.0848389	0.440979	0.525818
0.0546265	0.314026	0.368652
0.0216675	0.187073	0.20874
-0.0115967	0.0686646	0.0570679
-0.0421143	-0.0344849	-0.0765991
-0.0671387	-0.118103	-0.185242
-0.0839233	-0.179749	-0.263672
-0.0912476	-0.219727	-0.310974
-0.0897217	-0.240173	-0.329895
-0.0808716	-0.244751	-0.325623
-0.0668335	-0.238953	-0.305786
-0.0524902	-0.226135	-0.278625
-0.0418091	-0.209351	-0.25116
-0.03479	-0.192566	-0.227356
-0.0292969	-0.179749	-0.209045
-0.0247192	-0.17334	-0.198059
-0.0228882	-0.171509	-0.194397
-0.0250244	-0.171814	-0.196838
-0.0283813	-0.17395	-0.202332
-0.0302124	-0.177917	-0.20813
-0.0311279	-0.182495	-0.213623
-0.0320435	-0.185547	-0.21759
-0.0320435	-0.187378	-0.219421
-0.0320435	-0.188904	-0.220947
-0.0335693	-0.189209	-0.222778
-0.0363159	-0.188904	-0.22522
-0.039978	-0.187378	-0.227356
-0.043335	-0.184937	-0.228271
-0.0463867	-0.1828	-0.229187
-0.0479126	-0.181885	-0.229797
-0.0476074	-0.1828	-0.230408
-0.0448608	-0.185242	-0.230103
-0.0411987	-0.187378	-0.228577
-0.038147	-0.188293	-0.22644
-0.0350952	-0.187683	-0.222778
-0.0317383	-0.186157	-0.217896
-0.0292969	-0.183411	-0.212708
-0.0274658	-0.180664	-0.20813
-0.0244141	-0.179749	-0.204163
-0.0198364	-0.180664	-0.2005
-0.0152588	-0.1828	-0.198059
-0.0115967	-0.185852	-0.197449
-0.00915527	-0.188293	-0.197449
-0.00762939	-0.190125	-0.197754
-0.00518799	-0.192261	-0.197449
-0.0012207	-0.195618	-0.196838
0.00274658	-0.198669	-0.195923
0.00518799	-0.200195	-0.195007
0.00579834	-0.19928	-0.193481
0.00488281	-0.197144	-0.192261
0.00274658	-0.193176	-0.19043
-0.000305176	-0.188293	-0.188599
-0.00396729	-0.183411	-0.187378
-0.00793457	-0.179138	-0.187073
-0.012207	-0.175476	-0.187683
-0.0158691	-0.173035	-0.188904
-0.0183105	-0.171814	-0.190125
-0.0192261	-0.170898	-0.190125
-0.0192261	-0.169983	-0.189209
-0.0189209	-0.169067	-0.187988
-0.0180054	-0.168762	-0.186768
-0.0161743	-0.169067	-0.185242
-0.0140381	-0.169067	-0.183105
-0.0119019	-0.168762	-0.180664
-0.0109863	-0.167847	-0.178833
-0.0106812	-0.166931	-0.177612
-0.010376	-0.167236	-0.177612
-0.0088501	-0.168152	-0.177002
-0.00762939	-0.168762	-0.176392
-0.00701904	-0.168762	-0.175781
-0.00701904	-0.167542	-0.174561
-0.00701904	-0.165405	-0.172424
-0.00579834	-0.164185	-0.169983
-0.00335693	-0.163879	-0.167236
0.000610352	-0.164185	-0.163574
0.00488281	-0.164185	-0.159302
0.00854492	-0.163879	-0.155334
0.0128174	-0.164795	-0.151978
0.0177002	-0.166931	-0.149231
0.0222778	-0.170288	-0.14801
0.0265503	-0.174561	-0.14801
0.0302124	-0.177917	-0.147705
0.0338745	-0.180969	-0.147095
0.0375366	-0.183716	-0.146179
0.0411987	-0.185547	-0.144348
0.0448608	-0.186157	-0.141296
0.0463867	-0.185242	-0.138855
0.0466919	-0.183105	-0.136414
0.0466919	-0.180664	-0.133972
0.0469971	-0.177917	-0.13092
0.0476074	-0.175171	-0.127563
0.0482178	-0.173035	-0.124817
0.0491333	-0.171509	-0.122375
0.0500488	-0.170593	-0.120544
0.0494385	-0.169678	-0.120239
0.0463867	-0.168152	-0.121765
0.0418091	-0.16571	-0.123901
0.0378418	-0.162964	-0.125122
0.0354004	-0.161743	-0.126343
0.0350952	-0.162048	-0.126953
0.0357056	-0.162354	-0.126648
0.0375366	-0.163574	-0.126038
0.0411987	-0.16571	-0.124512
0.0469971	-0.168152	-0.121155
0.0546265	-0.172119	-0.117493
0.0637817	-0.177307	-0.113525
0.072937	-0.183411	-0.110474
0.0817871	-0.189209	-0.107422
0.0894165	-0.193481	-0.104065
0.0933838	-0.195923	-0.102539
0.0933838	-0.195618	-0.102234
0.0906372	-0.193481	-0.102844
0.0863647	-0.19043	-0.104065
0.0817871	-0.186768	-0.10498
0.078125	-0.183105	-0.10498
0.0759888	-0.179443	-0.103455
0.0738525	-0.175171	-0.101318
0.0720215	-0.171204	-0.0991821
0.0714111	-0.169067	-0.0976563
0.0723267	-0.168457	-0.0961304
0.072937	-0.168152	-0.0952148
0.072937	-0.168457	-0.09552
0.071106	-0.168762	-0.0976563
0.0674438	-0.168152	-0.100708
0.06073	-0.1651	-0.10437
0.0518799	-0.159912	-0.108032
0.0427246	-0.154114	-0.111389
0.0344849	-0.148926	-0.114441
0.0265503	-0.143738	-0.117188
0.0186157	-0.137634	-0.119019
0.0119019	-0.131226	-0.119324
0.00640869	-0.125122	-0.118713
0.00183105	-0.119934	-0.118103
-0.00305176	-0.115967	-0.119019
-0.00823975	-0.11322	-0.12146
-0.0140381	-0.110779	-0.124817
-0.0204468	-0.108948	-0.129395
-0.0283813	-0.107117	-0.135498
-0.0372314	-0.105591	-0.142822
-0.045166	-0.10437	-0.149536
-0.0506592	-0.104065	-0.154724
-0.0534058	-0.105286	-0.158691
-0.0552368	-0.107422	-0.162659
-0.0561523	-0.109863	-0.166016
-0.0552368	-0.112915	-0.168152
-0.0524902	-0.116577	-0.169067
-0.0469971	-0.12085	-0.167847
-0.0405884	-0.125122	-0.16571
-0.03479	-0.129089	-0.163879
-0.0314331	-0.131836	-0.163269
-0.0305176	-0.133362	-0.163879
-0.0314331	-0.133667	-0.1651
-0.0335693	-0.133057	-0.166626
-0.0357056	-0.132141	-0.167847
-0.0384521	-0.131226	-0.169678
-0.0415039	-0.130005	-0.171509
-0.0445557	-0.128479	-0.173035
-0.0463867	-0.127563	-0.17395
-0.0463867	-0.126953	-0.17334
-0.045166	-0.126038	-0.171204
-0.043335	-0.124817	-0.168152
-0.0405884	-0.123291	-0.163879
-0.0375366	-0.122681	-0.160217
-0.0344849	-0.122375	-0.15686
-0.0314331	-0.122681	-0.154114
-0.0292969	-0.122681	-0.151978
-0.0286865	-0.122681	-0.151367
-0.0292969	-0.12207	-0.151367
-0.0308228	-0.122375	-0.153198
-0.0317383	-0.123596	-0.155334
-0.0320435	-0.125122	-0.157166
-0.0326538	-0.126648	-0.159302
-0.0338745	-0.127258	-0.161133
-0.0350952	-0.126953	-0.162048
-0.0363159	-0.125732	-0.162048
-0.0372314	-0.123901	-0.161133
-0.0378418	-0.12085	-0.158691
-0.0390625	-0.115967	-0.155029
-0.0411987	-0.110168	-0.151367
-0.0436401	-0.10498	-0.148621
-0.045166	-0.100708	-0.145874
-0.0448608	-0.0985718	-0.143433
-0.043335	-0.0985718	-0.141907
-0.0418091	-0.0997925	-0.141602
-0.039978	-0.101318	-0.141296
-0.0372314	-0.104065	-0.141296
-0.0338745	-0.107727	-0.141602
-0.0302124	-0.111694	-0.141907
-0.027771	-0.114746	-0.142517
-0.0262451	-0.116272	-0.142517
-0.0256348	-0.116882	-0.142517
-0.0259399	-0.115662	-0.141602
-0.0271606	-0.112915	-0.140076
-0.0286865	-0.109253	-0.137939
-0.0302124	-0.10498	-0.135193
-0.0311279	-0.101624	-0.132751
-0.0308228	-0.0994873	-0.13031
-0.0305176	-0.0976563	-0.128174
-0.0283813	-0.0979614	-0.126343
